N,P,K,temperature,humidity,ph,rainfall,label
22.32,19.01,18.34,23.3,72.32,6.71,139.17,Orange
26.21,69.22,33.48,20.42,56.87,6.76,42.33,Lentil
22.25,143.24,207.79,21.13,79.71,6.82,97.83,Grapes
105.94,40.57,40.3,25.04,65.03,6.43,59.5,Watermelon
72.47,54.57,55.98,24.45,62.17,6.25,96.21,Onion
95.12,50.63,43.73,26.6,76.68,6.03,184.1,Jute
59.88,53.44,45.04,26.6,70.87,7.02,96.33,Mango
50.31,54.32,54.12,31.23,89.7,6.31,134.0,Papaya
83.58,53.98,49.97,17.76,55.74,7.32,52.46,Wheat
86.12,43.54,43.65,19.43,75.32,4.56,218.34,Tea
98.32,47.89,57.34,21.71,89.67,6.94,187.14,Rice
38.89,72.21,34.32,22.62,45.26,6.05,40.07,Lentil
57.77,66.58,86.29,21.58,58.81,6.07,54.09,Chickpea
91.87,51.26,44.99,30.54,62.21,6.83,64.11,Watermelon
104.54,58.24,63.08,19.98,78.76,5.5,141.98,Potato
88.66,38.6,36.47,19.65,66.54,5.73,77.81,Maize
72.99,37.88,48.09,19.78,55.52,5.53,91.12,Maize
105.01,53.71,48.61,22.8,64.75,6.1,94.92,Cotton
93.79,51.57,52.94,26.38,70.71,6.33,118.63,Tomato
45.17,74.48,98.16,19.65,58.17,6.46,79.06,Chickpea
27.86,11.69,11.09,26.24,66.1,7.43,171.43,Orange
96.58,56.95,44.21,23.62,61.82,6.84,70.47,Tomato
22.16,10.69,21.41,30.3,72.21,6.76,205.55,Coconut
33.57,79.08,30.22,24.14,59.36,6.85,52.39,Lentil
29.76,127.19,221.92,11.82,76.89,5.65,148.82,Apple
84.21,45.11,47.61,24.46,76.49,5.7,181.6,Tea
125.51,56.4,40.83,25.48,70.68,6.38,78.47,Cotton
130.21,56.33,75.23,22.62,74.91,7.45,100.82,Sugarcane
139.96,46.53,54.96,28.26,75.74,7.5,74.49,Cotton
115.94,62.13,50.18,15.51,73.27,5.51,91.26,Potato
27.83,14.43,14.85,26.67,67.65,6.66,137.62,Orange
90.95,49.76,41.65,27.68,66.13,6.82,42.28,Watermelon
46.84,66.71,89.71,25.22,62.81,6.33,88.92,Soybean
23.67,11.06,16.28,16.82,79.72,7.17,139.02,Orange
21.04,125.76,217.19,15.63,75.78,6.29,51.45,Grapes
78.78,41.51,42.25,15.49,55.15,6.14,63.0,Onion
96.15,42.19,48.3,29.19,77.8,6.5,237.57,Jute
62.79,43.82,39.62,23.78,56.3,6.37,88.07,Maize
25.09,141.82,201.54,24.02,69.23,6.46,82.97,Grapes
91.31,36.29,39.42,22.32,79.19,5.04,224.13,Tea
114.12,76.59,41.3,30.17,79.23,6.09,106.41,Banana
28.82,126.3,233.01,6.89,78.06,6.8,146.46,Apple
138.48,50.18,49.06,23.51,78.77,6.21,94.79,Cotton
93.4,32.14,45.22,18.12,89.26,5.01,244.89,Tea
102.36,59.23,73.58,26.31,75.41,6.37,194.21,Sugarcane
101.66,41.57,67.94,21.33,81.35,7.03,180.06,Sugarcane
97.01,50.75,52.56,18.83,60.0,5.92,116.58,Potato
89.33,54.3,51.75,29.28,80.35,6.17,247.85,Jute
22.14,14.76,16.36,26.87,89.34,5.74,228.73,Coconut
101.67,50.8,49.62,29.55,80.85,6.25,184.57,Jute
108.19,55.96,54.77,21.57,61.62,6.42,78.27,Cotton
142.97,57.37,69.44,25.14,86.72,7.11,126.51,Sugarcane
87.36,41.5,58.87,21.29,82.81,6.78,105.33,Tomato
20.22,19.83,10.86,27.22,65.61,6.2,143.99,Orange
117.23,58.65,59.39,25.0,63.21,6.68,61.66,Watermelon
22.5,140.88,211.03,23.77,78.88,5.72,73.13,Grapes
54.6,64.26,71.58,22.77,64.98,6.35,71.57,Soybean
40.18,74.32,86.89,23.51,46.78,7.23,45.23,Chickpea
78.85,40.69,45.44,14.71,59.47,6.92,93.44,Wheat
21.68,13.55,18.0,25.4,81.67,6.83,165.17,Coconut
22.55,61.86,31.79,20.32,45.33,6.9,77.09,Lentil
111.49,51.85,45.96,21.5,50.08,6.15,107.54,Cotton
85.75,42.09,48.46,25.57,81.41,5.7,246.51,Rice
68.39,51.41,55.44,24.28,55.22,6.33,73.21,Onion
94.04,54.8,46.38,28.83,71.09,6.84,214.82,Jute
88.83,50.78,50.72,15.88,77.34,5.78,146.53,Potato
83.77,46.37,48.21,18.13,71.18,6.91,99.47,Maize
104.01,50.49,68.21,29.82,72.24,6.6,196.95,Sugarcane
55.81,63.87,85.24,21.59,46.61,7.29,58.95,Chickpea
87.63,45.42,44.58,25.76,60.48,6.71,69.76,Maize
98.76,54.8,48.0,24.9,86.57,6.25,227.73,Jute
99.99,37.75,42.26,15.5,70.13,6.87,171.35,Coffee
86.15,65.29,64.48,17.83,69.36,6.39,133.67,Potato
80.01,44.82,44.16,21.75,88.06,5.92,178.73,Rice
80.9,58.76,45.51,20.99,77.52,6.77,115.76,Tomato
69.83,48.85,35.39,26.9,68.41,6.2,90.67,Maize
130.63,51.71,70.95,26.4,75.19,6.13,111.93,Sugarcane
85.07,54.56,47.87,19.71,64.15,6.12,70.1,Wheat
100.6,47.8,52.45,27.35,73.88,6.28,200.52,Jute
58.15,53.77,45.65,27.85,51.11,7.14,149.19,Mango
75.08,43.42,36.76,18.64,73.87,6.66,101.94,Maize
124.61,46.13,52.48,25.74,62.78,6.2,113.2,Cotton
28.36,143.65,234.64,5.68,60.53,6.06,181.06,Apple
22.12,132.1,216.53,21.76,73.16,5.61,69.76,Grapes
83.95,49.03,48.9,21.69,82.04,5.18,203.43,Tea
41.55,43.17,56.25,25.06,55.83,6.41,111.37,Mango
71.15,54.06,45.86,17.59,60.5,7.25,51.66,Wheat
58.69,78.33,82.71,26.3,68.06,7.13,91.88,Soybean
114.78,43.61,58.95,21.53,83.26,6.63,209.06,Rice
131.25,40.39,46.54,26.65,58.26,7.36,98.03,Cotton
101.3,51.04,56.73,15.67,61.27,6.49,102.56,Potato
102.54,56.08,42.74,24.06,85.06,5.72,243.6,Rice
132.45,44.33,56.06,24.6,55.67,7.14,65.45,Cotton
93.7,42.11,43.77,28.0,75.86,6.15,66.39,Watermelon
119.85,56.51,56.9,21.74,85.77,5.6,164.24,Rice
39.58,138.48,233.88,18.24,73.53,6.39,80.16,Grapes
88.11,54.5,48.37,26.78,81.61,6.14,194.4,Jute
94.55,44.72,40.26,21.65,78.15,6.92,203.51,Coffee
82.01,42.49,43.8,16.94,69.4,7.09,96.13,Wheat
103.23,44.83,43.5,16.85,67.05,6.13,162.99,Coffee
